company_name,about,industry,sub_industry,company_stage,size,culture_tags,tech_stack,total_roles
Blackstone,"Global investment firm focused on private equity, real estate, hedge funds, credit and other investments",Finance,Private Equity,Public,"Enterprise (5,000+)","Fast-paced, Meritocratic, Collaborative, Excellence-driven, Global","FactSet, Capital IQ, Bloomberg Terminal, Microsoft Office Suite, Dealroom, Salesforce",10
KKR,"Global investment firm managing multiple alternative asset classes including private equity, energy, infrastructure, real estate and credit",Finance,Private Equity,Public,"Very Large (1,000-4,999)","Entrepreneurial, Global, Innovation-focused, Results-driven","CapIQ, Tableau, Bloomberg Terminal, Alteryx, PowerBI",3
TPG,"Global alternative asset management firm focusing on private equity, growth equity, impact investing, and public equity",Finance,Private Equity,Public,"Very Large (1,000-4,999)","Innovation-driven, Sustainability-focused, Collaborative, Global","FactSet, Snowflake, Tableau, Bloomberg Terminal, Slack",3
Andreessen Horowitz (a16z),Leading Silicon Valley venture capital firm focused on technology investments across stages,Finance,Venture Capital,Private,Large (200-999),"Innovation-focused, Fast-paced, Entrepreneurial, Tech-forward","Affinity CRM, DocSend, Airtable, Notion, Tableau",3
Index Ventures,International venture capital firm focusing on technology and life sciences investments,Finance,Venture Capital,Private,Large (200-999),"European presence, Collaborative, Sector-focused","Affinity, Google Workspace, Notion, Slack",2
Evercore,Premier independent investment banking advisory firm,Finance,Investment Banking,Public,"Very Large (1,000-4,999)","Elite boutique, Merit-based, Deal-focused","FactSet, Capital IQ, Bloomberg, Excel",3
PNC Financial Services,"Regional bank providing commercial banking, retail banking, and asset management services",Finance,Commercial Banking,Public,"Enterprise (5,000+)","Regional focus, Conservative, Customer-centric","nCino, Finastra, SAP, Microsoft Dynamics",2
Silicon Valley Bank,"Technology-focused commercial bank serving innovation economy, startups, and venture capital",Finance,Commercial Banking,Public,"Enterprise (5,000+)","Innovation-focused, Tech-forward, Entrepreneurial","Salesforce, Stripe, Plaid, NetSuite",2
Progressive Insurance,Leading provider of auto insurance and other vehicle insurance products,Finance,Insurance,Public,"Enterprise (5,000+)","Innovation, Data-Driven, Customer-Focused","Java, Azure, Tableau, SQL, Power BI",2
Lemonade Insurance,"AI-powered insurance company offering renters, homeowners, car, and pet insurance",Finance,Insurance,Public,"Enterprise (5,000+)","Tech-forward, AI-driven, Remote-first, Startup culture","Python, React, Node.js, TensorFlow, AWS",2
Lazard,"Global financial advisory and asset management firm specializing in M&A, restructuring, and strategic advisory",Finance,Financial Advisory,Public,"Enterprise (5,000+)","Fast-paced, Client-focused, Global, Prestigious, Deal-driven","Bloomberg Terminal, FactSet, Capital IQ, Microsoft Office Suite, Dealogic",3
Houlihan Lokey,"Independent investment bank specializing in M&A, capital markets, financial restructuring, and valuation",Finance,Financial Advisory,Public,"Very Large (1,000-4,999)","Entrepreneurial, Merit-based, Collaborative, Deal-focused","FactSet, Capital IQ, DealCloud, Microsoft Office Suite",2
Blackstone Real Estate,Global leader in real estate investing across debt and equity strategies,Real Estate,Real Estate Investment,Public,"Enterprise (5,000+)","Fast-paced, Deal-driven, Collaborative, Excellence-focused","Argus, CoStar, Yardi, Excel, PowerPoint, Salesforce",3
Prologis,Global industrial real estate investment trust and logistics facilities operator,Finance,Real Estate Investment,Public,"Very Large (1,000-4,999)","Sustainable, Innovation-focused, Customer-centric","SAP, Salesforce, Workday, PowerBI",2
Bridge Investment Group,"Vertically integrated real estate investment manager focused on multifamily, office, and seniors housing",Finance,Real Estate Investment,Public,"Very Large (1,000-4,999)","Entrepreneurial, Value-Add Focus, Collaborative","RealPage, VTS, Juniper Square, Yardi",2
Wellington Management,Global investment management firm with over $1 trillion AUM,Finance,Asset Management,Private,"Very Large (1,000-4,999)","Research-driven, Collaborative, Long-term focused","FactSet, Bloomberg, Python, R",3
Citadel,Multi-strategy hedge fund known for high-frequency trading and technology,Finance,Hedge Funds,Private,"Very Large (1,000-4,999)","Performance-driven, Competitive, Technology-focused","C++, Python, KDB/Q, Linux, FPGA",2
Charles Schwab,"Leading investment services firm providing wealth management, securities brokerage, and financial planning",Finance,Financial Planning,Public,"Enterprise (5,000+)","Client-focused, Collaborative, Professional development","Salesforce, Bloomberg Terminal, Microsoft Office Suite, Proprietary trading platforms",3
Edelman Financial Engines,Independent financial planning and investment advisory firm,Finance,Financial Planning,Private,"Very Large (1,000-4,999)","Client-centric, Educational focus, Collaborative","Orion, Salesforce, eMoney, Riskalyze",2
Personal Capital (Empower),Digital wealth management and financial planning platform,Finance,Financial Planning,Private,"Very Large (1,000-4,999)","Tech-forward, Remote-friendly, Growth-oriented","Proprietary platform, Salesforce, Zoom, Financial planning software",2
Synchrony Financial,"Consumer financial services company providing credit cards, commercial credit products, and deposit products",Finance,Credit Services,Public,"Enterprise (5,000+)","Fast-paced, Innovation-driven, Customer-centric, Data-focused","Python, SQL, Tableau, SAS, Salesforce, AWS",2
Affirm,Leading buy-now-pay-later fintech company offering point-of-sale financing and installment loans,Finance,Credit Services,Public,"Very Large (1,000-4,999)","Tech-forward, Remote-friendly, Mission-driven","React, Node.js, Python, AWS, Kubernetes",2
American Express,"Global payment and travel services company providing credit cards, banking and lifestyle services",Finance,Credit Services,Public,"Enterprise (5,000+)","Corporate, Global, Professional, Service-oriented","Java, Python, Azure, Salesforce, Oracle",2
Snowflake,Cloud-based data warehousing platform offering storage and analytics solutions,Technology,Cloud Computing,Public,"Enterprise (5,000+)","Data-driven, Innovation-focused, Remote-friendly, Fast-paced","Python, Java, AWS, Azure, GCP, SQL, Kubernetes",3
Snowflake Inc.,Cloud-based data warehousing platform provider,Technology,Cloud Computing,Public,"Enterprise (5,000+)","Data-driven, Innovation, Collaborative, Fast-paced","Python, Java, AWS, Azure, SQL, Kubernetes",2
MongoDB,Modern database platform for developers and enterprises,Technology,Software Development,Public,"Very Large (1,000-4,999)","Developer-first, Open source, Global, Collaborative","C++, Go, JavaScript, Python, MongoDB",3
MongoDB Inc.,Modern database platform provider,Technology,Cloud Computing,Public,"Very Large (1,000-4,999)","Open Source, Engineering Excellence, Customer Focus","MongoDB, Python, Go, Kubernetes, AWS",2
Confluent,Data streaming platform powered by Apache Kafka,Technology,Software Development,Public,"Very Large (1,000-4,999)","Open source, Data-centric, Remote-first, Engineering excellence","Java, Kafka, Go, Python, React, AWS",3
CrowdStrike,"Leading provider of cloud-native endpoint security, threat intelligence, and cyberattack response services",Technology,Cybersecurity,Public,"Enterprise (5,000+)","Fast-paced, Innovation-focused, Remote-friendly, Mission-driven","Python, C++, AWS, Kubernetes, Falcon Platform, MITRE ATT&CK",11
Palo Alto Networks,Global cybersecurity leader providing next-gen firewall and cloud-native security solutions,Technology,Cybersecurity,Public,"Enterprise (5,000+)","Enterprise-focused, Global presence, Innovation leadership","Java, Python, Kubernetes, Prisma Cloud, Cortex XDR",2
Snyk,Developer security platform for cloud native application security,Technology,Cybersecurity,Private,"Very Large (1,000-4,999)","Developer-first, Remote-friendly, Fast-growing","Node.js, TypeScript, GraphQL, Kubernetes, AWS",3
Stripe,Global technology company building economic infrastructure for the internet,Finance,Payment Processing,Private,"Enterprise (5,000+)","Remote-first, Engineering-driven, Fast-paced, Innovation-focused","Ruby, Go, React, AWS, Kubernetes",3
Atlassian,"Enterprise software company known for Jira, Confluence, and Trello",Technology,Software Development,Public,"Enterprise (5,000+)","Remote-first, Work-life balance, Innovation","Java, Python, React, AWS, Kubernetes",3
DeepMind,AI research company focused on developing artificial general intelligence and solving complex scientific problems,Technology,Artificial Intelligence,Private,"Enterprise (5,000+)","Research-driven, Collaborative, Innovation-focused, Academic environment","Python, TensorFlow, JAX, PyTorch, Google Cloud",5
Palantir Technologies,Data analytics and software company specializing in big data integration and analytics,Technology,Data Analytics,Public,"Enterprise (5,000+)","Mission-driven, Engineering-focused, Fast-paced","Python, Java, Scala, React, AWS",3
Databricks,Unified analytics platform combining data warehousing and AI/ML,Technology,Software Development,Public,"Enterprise (5,000+)","Data-driven, Innovation-focused, Remote-friendly, Fast-paced","Scala, Python, Apache Spark, Delta Lake, AWS, Azure",2
Verizon Communications,"Leading telecommunications provider offering wireless, fiber-optic internet, and digital services",Technology,Telecommunications,Public,"Enterprise (5,000+)","Innovation-driven, Customer-focused, Fast-paced, Tech-forward","5G, Fiber optics, Cloud computing, Network virtualization, IoT",2
Nokia,Global telecommunications equipment manufacturer and network infrastructure provider,Technology,Telecommunications Equipment,Public,"Enterprise (5,000+)","Global, Research-driven, Collaborative","5G, Network Equipment, Cloud Native, AI/ML",1
Nvidia,Global leader in AI computing and graphics processing units (GPUs),Technology,Hardware Manufacturing,Public,"Enterprise (5,000+)","Innovation-driven, Engineering excellence, Fast-paced","CUDA, RTX, TensorRT, Deep Learning",3
Intel,Leading manufacturer of microprocessors and semiconductor products,Technology,Hardware Manufacturing,Public,"Enterprise (5,000+)","Professional, Innovative, Tech-Driven, Established",,2
Intel Corporation,Leading integrated device manufacturer specializing in processors and computing solutions,Technology,Semiconductors,Public,"Enterprise (5,000+)","Innovation, Engineering excellence, Global collaboration","EDA tools, Custom IC design software, Manufacturing automation",2
AMD,Designer and manufacturer of high-performance processors and graphics solutions,Technology,Semiconductors,Public,"Enterprise (5,000+)","Collaborative, Engineering-focused, Innovation","x86 Architecture, RISC, RTL Design, SystemVerilog",2
Cloudflare,"Global cloud network platform providing CDN, security and web infrastructure services",Technology,Internet Services,Public,"Enterprise (5,000+)","Fast-paced, Innovation-driven, Engineering excellence","Go, Rust, JavaScript, Kubernetes, Linux",3
Accenture,"Global professional services company providing strategy, consulting, digital, technology and operations services",Strategy & Management Consulting,Technology Consulting,Public,"Enterprise (5,000+)","Fast-paced, Innovation-driven, Global exposure, Professional development","SAP, Salesforce, AWS, Azure, Oracle, Workday",4
Pfizer,Global pharmaceutical company developing innovative medicines and vaccines,Healthcare,Pharmaceuticals,Public,"Enterprise (5,000+)","Innovation-driven, Research-focused, Global collaboration","SAP, Salesforce, Laboratory Information Management Systems (LIMS)",10
Pfizer Inc.,Global pharmaceutical company focused on innovative medicines and vaccines,Healthcare,Pharmaceuticals,Public,"Enterprise (5,000+)","Innovation-driven, Research-focused, Global collaboration, Patient-centric","SAP, Tableau, AWS, Laboratory Information Management Systems (LIMS), R Studio",2
Medtronic,"Global leader in medical technology, developing devices and therapies for chronic diseases",Healthcare,Medical Devices,Public,"Enterprise (5,000+)","Innovation-driven, Patient-focused, Global collaboration","SAP, MATLAB, CAD/CAM, Quality Management Systems",2
Moderna,Biotechnology company pioneering mRNA therapeutics and vaccines,Healthcare,Biotechnology,Public,"Enterprise (5,000+)","Innovation-driven, Fast-paced, Research-focused, Collaborative","Laboratory Information Management Systems (LIMS), R Studio, Python, JMP, Spotfire",12
HCA Healthcare,"One of the nation's leading providers of healthcare services, operating 185 hospitals and 2,000+ care sites across 21 states",Healthcare,Hospital Management,Public,"Enterprise (5,000+)","Patient-focused, Fast-paced, Professional development, Clinical excellence","Epic EHR, Meditech, Oracle PeopleSoft, Workday, Microsoft Office",11
UnitedHealth Group,"Largest healthcare and insurance provider in the US, operating UnitedHealthcare insurance and Optum health services",Healthcare,Health Insurance,Public,"Enterprise (5,000+)","Fortune 5, Innovation-focused, Data-driven, Mission-oriented","Epic, Tableau, Python, R, SQL, Azure",10
Oscar Health,Technology-driven health insurance company focused on providing personalized healthcare through their platform,Healthcare,Digital Health & InsurTech,Public,"Enterprise (5,000+)","Data-driven, Mission-focused, Fast-paced, Tech-forward, Collaborative","Python, React, AWS, Kubernetes, SQL, Java, Swift",11
Vertex Pharmaceuticals,Global biotechnology company focused on developing transformative medicines for serious diseases,Healthcare,Medical Research & Drug Development,Public,"Enterprise (5,000+)","Innovation-driven, Patient-focused, Collaborative, Science-based","Laboratory Information Management Systems (LIMS), Electronic Lab Notebooks, R, Python, Clinical Trial Management Systems",10
Acadia Healthcare,Leading provider of behavioral healthcare services operating treatment facilities across the US,Healthcare,Mental Health Services,Public,"Enterprise (5,000+)","Patient-focused, Collaborative, Professional Development, Work-Life Balance","Epic EHR, Cerner, Microsoft Office, Tableau, Workday",3
Brookdale Senior Living,"Largest senior living operator in the US providing assisted living, memory care, skilled nursing and hospice services",Healthcare,Elder Care,Public,"Enterprise (5,000+)","Mission-driven, Resident-focused, Collaborative, Fast-paced","PointClickCare, MatrixCare, Kronos, Workday, Microsoft Office",3
Toyota Motor Manufacturing,"Leading global automotive manufacturer producing cars, trucks, and parts",Manufacturing,Automotive,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,5
Lockheed Martin,"Global aerospace, defense and security company specializing in advanced technology systems and aircraft manufacturing",Manufacturing,Aerospace & Defense,Public,"Enterprise (5,000+)","Innovation-driven, Mission-focused, Security-oriented, Engineering excellence","CATIA, Siemens NX, MATLAB, AutoCAD, SAP",10
Foxconn Technology Group,World's largest electronics manufacturing services provider,Manufacturing,Electronics,Public,"Enterprise (5,000+)","Fast-paced, Process-driven, Global operations","SAP, AutoCAD, Siemens PLM, Oracle ERP",3
Samsung Electronics,Global leader in consumer electronics and semiconductor manufacturing,Manufacturing,Electronics,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,2
Caterpillar Inc.,"Global manufacturer of construction and mining equipment, engines, and industrial machinery",Manufacturing,Industrial Equipment,Public,"Enterprise (5,000+)","Safety First, Innovation, Sustainability, Global Focus","SAP, AutoCAD, Siemens PLM, Oracle ERP",3
Procter & Gamble (P&G),"Global consumer goods corporation producing personal care, household cleaning, laundry products, and hygiene products",Manufacturing,Consumer Goods,Public,"Enterprise (5,000+)","Innovation-driven, Consumer-focused, Data-driven decision making","SAP, Oracle ERP, Tableau, PowerBI",5
Unilever,"Multinational consumer goods company producing food, beverages, cleaning agents and personal care products",Manufacturing,Consumer Goods,Public,"Enterprise (5,000+)","Sustainability focus, Global mindset, Purpose-driven","SAP, Microsoft Azure, Salesforce",3
Dow Chemical Company,"Global leader in materials science, focused on packaging, infrastructure, and consumer care",Manufacturing,Chemical Production,Public,"Enterprise (5,000+)","Safety-first, Customer-focused, Sustainable solutions","SAP, AspenTech, PI System, Microsoft Azure",3
Milliken & Company,"Global textile and chemical manufacturer specializing in performance fabrics, floor covering, and specialty chemicals",Manufacturing,Textiles,Private,"Enterprise (5,000+)","Innovation-driven, Sustainability-focused, Research-oriented","SAP, AutoCAD, PLM systems, Quality Management Systems",10
O'Neal Manufacturing Services,"Large-scale metal fabrication and manufacturing services including laser cutting, forming, and welding",Manufacturing,Metal Fabrication,Private,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented",,5
BTD Manufacturing,Custom metal fabrication and production services,Manufacturing,Metal Fabrication,Private,"Very Large (1,000-4,999)","Professional, Collaborative, Growth-Oriented",,5
Berry Global Group,Global manufacturer of plastic packaging products and engineered materials,Manufacturing,Plastics,Public,"Enterprise (5,000+)","Manufacturing Excellence, Innovation, Sustainability","SAP, AutoCAD, SolidWorks, Manufacturing Execution Systems",10
ExxonMobil Corporation,"One of the world's largest publicly traded international oil and gas companies, engaged in exploration, production, refining and marketing of petroleum products",Energy,Oil & Gas Integrated,Public,"Enterprise (5,000+)","Safety-focused, Innovation-driven, Global operations, Structured environment, Research-oriented","SAP, AutoCAD, Petrel, HYSYS, Aspen Plus, Eclipse Reservoir Simulator",10
Orsted,"Global leader in offshore wind power development, construction and operations",Energy,Renewable Energy,Public,"Enterprise (5,000+)","Sustainability-focused, Innovation-driven, Global mindset, Safety-first","SAP, AutoCAD, GIS Systems, SCADA, Wind Farm Management Software",11
Exelon Corporation,"Largest nuclear power operator in US, operating 21 nuclear reactors across 12 facilities",Energy,Nuclear Power,Public,"Enterprise (5,000+)","Safety-first, Innovation-driven, Sustainability-focused","GE FANUC, Siemens PCS7, SAP, AutoCAD, ETAP",3
Westinghouse Electric Company,Global nuclear power plant designer and fuel supplier,Energy,Nuclear Power,Private,"Enterprise (5,000+)","Engineering Excellence, Global Reach, Innovation","ANSYS, RELAP, AutoCAD, Primavera P6",3
Peabody Energy,"Largest private-sector coal company in the world, operating mines across the US and Australia",Energy,Coal Mining,Public,"Enterprise (5,000+)","Safety-focused, Sustainable practices, Innovation-driven","SAP, MineSight, Vulcan, Deswik",3
CONSOL Energy,Leading producer of high-BTU bituminous coal in the Appalachian basin,Energy,Coal Mining,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,2
NextEra Energy,"Largest electric utility holding company by market cap, focused on renewable energy and regulated utilities",Energy,Electric Utilities,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,5
Duke Energy,"One of the largest electric power companies in the US, serving ~7.5 million customers",Energy,Electric & Gas Utilities,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,5
National Grid,Major electricity and natural gas utility company operating transmission networks in the UK and northeastern US,Energy,Energy Distribution,Public,"Enterprise (5,000+)","Safety-focused, Sustainability-driven, Innovation-oriented, Customer-centric","SAP, GIS, SCADA, Smart Grid Technologies, Asset Management Systems",10
SunPower Corporation,Leading manufacturer and installer of high-efficiency solar panels and systems for residential and commercial customers,Energy,Solar Power,Public,"Enterprise (5,000+)","Sustainability focused, Innovation driven, Fast-paced, Mission-oriented","AutoCAD, PVsyst, Salesforce, SAP, HelioScope",10
Vestas Wind Systems,"Global leader in wind turbine manufacturing, installation and servicing",Energy,Wind Power,Public,"Enterprise (5,000+)","Sustainability-focused, Innovation-driven, Global, Engineering excellence","SAP, AutoCAD, SCADA, WindPRO, Siemens PLM",3
Brookfield Renewable,"Global operator of renewable power assets, including hydroelectric facilities",Energy,Hydroelectric Power,Public,"Enterprise (5,000+)","Sustainability-focused, Global, Innovation-driven","SCADA, GE Digital, SAP, AutoCAD, Power Plant Simulators",3
BC Hydro,Major Canadian hydroelectric power utility,Energy,Hydroelectric Power,Public,"Enterprise (5,000+)","Public service, Safety-first, Environmental stewardship","SCADA, SAP, GIS systems, Asset management software",2
Tesla Energy,Develops and manufactures energy storage systems including Powerwall and Megapack,Energy,Energy Storage,Public,"Enterprise (5,000+)","Fast-paced, Innovation-driven, Engineering excellence","Python, C++, SCADA, AutoCAD, Battery Management Systems",3
Fluence Energy,Global provider of grid-scale energy storage technology and services,Energy,Energy Storage,Public,"Enterprise (5,000+)","Sustainability focused, Global reach, Technology driven","SCADA, PLC Programming, Energy Management Software",2
Toll Brothers,"Luxury home builder and residential real estate developer founded in 1967, specializing in master-planned communities and luxury homes",Real Estate,Residential Development,Public,"Enterprise (5,000+)","Professional, Quality-focused, Customer-centric, Traditional","AutoCAD, Procore, Salesforce, SAP, Microsoft Office",11
CBRE Group,"Global commercial real estate services and investment firm providing facilities management, property management, and real estate solutions",Real Estate,Facilities Management,Public,"Enterprise (5,000+)","Professional, Global, Corporate, Fast-paced, Client-focused","Salesforce, SAP, AutoCAD, ARCHIBUS, Building Automation Systems",10
Greystar,"Largest property management company in the US, managing apartments, student housing and other residential properties",Real Estate,Property Management,Private,"Enterprise (5,000+)","Professional, Fast-paced, Service-oriented","Yardi, RealPage, AppFolio, Buildium",5
Lennar Corporation,One of America's largest homebuilders focused on residential construction and real estate development,Real Estate,Construction & Development,Public,"Enterprise (5,000+)","Fast-paced, Professional, Team-oriented, Safety-focused","Procore, AutoCAD, Bluebeam, SAP, Salesforce",12
Gensler,"Global architecture, design and planning firm with 50+ locations worldwide",Real Estate,Architecture,Private,"Enterprise (5,000+)","Design-driven, Collaborative, Sustainable, Innovation-focused","Revit, AutoCAD, SketchUp, 3ds Max, Adobe Creative Suite",3
HOK,"Global design, architecture, engineering and planning firm",Real Estate,Architecture,Private,"Enterprise (5,000+)","Sustainability, Innovation, Global reach","Revit, AutoCAD, Rhino, Grasshopper, BIM 360",3
JLL (Jones Lang LaSalle),"Professional services firm specializing in real estate and investment management, including facilities management services",Real Estate,Facilities Management,Public,"Enterprise (5,000+)","Innovation-driven, Sustainable, Global, Professional, Collaborative","Corrigo, SAP, Microsoft 365, Building Automation Systems, Energy Management Software",10
Compass,Technology-driven real estate platform combining top agents with innovative tech,Real Estate,Real Estate Brokerage,Public,"Enterprise (5,000+)","Tech-forward, Fast-paced, Entrepreneurial","Compass CRM, Salesforce, DocuSign, MLS Systems",3
Coldwell Banker,Global real estate franchise with extensive network,Real Estate,Real Estate Brokerage,Public,"Enterprise (5,000+)","Traditional, Professional, Global","CBx, MLS Systems, CRM platforms",3
AECOM,Global infrastructure consulting firm delivering professional services across the project lifecycle,Transportation,Transportation Infrastructure,Public,"Enterprise (5,000+)","Project-driven, Global mobility, Technical excellence, Sustainability focused","AutoCAD, Civil 3D, GIS, Microstation, Primavera P6, SAP",12
Sasaki,Interdisciplinary planning and design firm creating sustainable places for people,Real Estate,Urban Planning,Private,Large (200-999),"Design excellence, Sustainability focused, Collaborative","Rhino, Grasshopper, ArcGIS, Adobe Creative Suite",3
Shopify,E-commerce platform enabling merchants to run online stores,Retail,E-commerce Platform,Public,"Enterprise (5,000+)","Remote-first, Digital by design, Innovation-focused","Ruby on Rails, React, GraphQL, Redis, MySQL",5
Macy's,"One of America's largest department store retailers, offering apparel, accessories, home furnishings and more",Retail,Department Stores,Public,"Enterprise (5,000+)","Customer-centric, Fast-paced, Traditional retail","Oracle Retail, SAP, Salesforce, Manhattan Associates",10
Kroger,One of America's largest supermarket chains operating multiple grocery retail brands,Retail,Grocery,Public,"Enterprise (5,000+)","Customer-focused, Innovation-driven, Growth-oriented","SAP, Oracle Retail, Workday, Microsoft Office",3
Whole Foods Market,Premium natural and organic foods retailer,Retail,Grocery,Private,"Enterprise (5,000+)","Sustainability, Quality, Team-oriented","AWS, Workday, Custom POS systems",3
Zara (Inditex),Global fast fashion retailer known for rapid design-to-store pipeline,Retail,Fashion,Public,"Enterprise (5,000+)","Fast-paced, Trend-focused, International","SAP Retail, Adobe Creative Suite, PLM software",10
Best Buy,Leading consumer electronics retailer with stores across North America,Retail,Electronics Retail,Public,"Enterprise (5,000+)","Customer-centric, Tech-focused, Fast-paced","SAP, Oracle Retail, Salesforce, POS Systems",12
LVMH (Louis Vuitton Moët Hennessy),"Global luxury goods conglomerate specializing in fashion, leather goods, wines, spirits, and cosmetics",Retail,Luxury Goods,Public,"Enterprise (5,000+)","Luxury heritage, Innovation, Craftsmanship, Excellence","SAP, Salesforce, Adobe Creative Suite, PLM systems",5
Tiffany & Co.,Luxury jewelry and specialty retailer,Retail,Luxury Goods,Public,"Enterprise (5,000+)","Heritage, Craftsmanship, Excellence","SAP, Salesforce, Adobe Creative Suite",3
The Home Depot,"World's largest home improvement retailer offering tools, construction products, appliances and services",Retail,Home Improvement,Public,"Enterprise (5,000+)","Values-Driven, Customer-First, Entrepreneurial Spirit","SAP, Oracle Retail, Workday, ServiceNow",5
Lowe's,Major home improvement retailer offering home improvement products and services,Retail,Home Improvement,Public,"Enterprise (5,000+)","Customer Service, Innovation, Team-Oriented","JDA Software, Salesforce, Workday",3
Ulta Beauty,"Leading beauty retailer offering cosmetics, fragrance, skincare, haircare and salon services",Retail,Specialty Beauty Retail,Public,"Enterprise (5,000+)","Beauty-focused, Fast-paced retail, Customer-centric, Growth-oriented","SAP, Salesforce, Workday, Adobe Creative Suite, POS Systems",10
Amway,"Global direct selling company offering health, beauty, and home care products through independent business owners",Retail,Direct Marketing,Public,"Enterprise (5,000+)","Entrepreneurial, Commission-based, Independent Business Focus, Global","Salesforce, SAP, Microsoft Office, Custom CRM, Digital Marketing Tools",10
Sysco Corporation,Global leader in food distribution and foodservice supply chain solutions,Agriculture,Food Distribution,Public,"Enterprise (5,000+)","Fast-paced, Customer-focused, Safety-first, Collaborative","SAP, Oracle WMS, Salesforce, Manhattan Associates",3
HD Supply,"Industrial distributor specializing in facilities maintenance, construction and home improvement products",Retail,Industrial Wholesale,Public,"Enterprise (5,000+)","Results-driven, Customer-centric, Professional Growth","SAP, Manhattan Associates, Salesforce, Custom ERP",3
Universal Pictures,"Major film studio and production company, subsidiary of NBCUniversal",Media & Entertainment,Film Production,Public,"Enterprise (5,000+)","Creative, Fast-paced, Collaborative, Corporate","Avid, Adobe Creative Suite, Maya, Nuke, Shotgun",5
A24,Independent entertainment company specializing in film production and distribution,Media & Entertainment,Film Production,Private,Large (200-999),"Independent, Innovative, Artist-driven","Adobe Creative Suite, Final Cut Pro, Movie Magic",3
NBCUniversal,"Global media and entertainment company producing and distributing TV, film, and digital content",Media & Entertainment,Broadcasting,Public,"Enterprise (5,000+)","Fast-paced, Creative, Collaborative, Innovation-driven","Avid, Adobe Creative Suite, AWS, Media Asset Management Systems",3
CBS Broadcasting,"Major television network providing news, sports, and entertainment programming",Media & Entertainment,Broadcasting,Public,"Enterprise (5,000+)","Traditional Media, News-focused, Professional","Media Encoders, Broadcast Automation Systems, NewsRoom Systems",3
Penguin Random House,"World's largest trade book publisher, publishing fiction, non-fiction, and children's books",Media & Entertainment,Publishing,Public,"Enterprise (5,000+)","Book-loving, Creative, Collaborative, Editorial excellence","Adobe Creative Suite, Salesforce, Microsoft Office, Publishing CMS",10
Riot Games,"Developer and publisher of League of Legends, VALORANT, and other competitive games",Media & Entertainment,Gaming,Private,"Enterprise (5,000+)","Player-focused, Collaborative, Creative, Fast-paced","Unity, Unreal Engine, C++, Python, AWS",3
Electronic Arts,Global leader in digital interactive entertainment,Media & Entertainment,Gaming,Public,"Enterprise (5,000+)","Innovation, Player-First, Diverse","Frostbite Engine, Unity, AWS, Python",3
Netflix,Leading streaming entertainment service with over 230M subscribers globally,Media & Entertainment,Digital Media,Public,"Enterprise (5,000+)","Freedom & Responsibility, Innovation, Data-Driven, High Performance","React, Node.js, AWS, Python, Java, Kafka",3
Spotify,Global audio streaming platform,Media & Entertainment,Digital Media,Public,"Enterprise (5,000+)","Innovation, Collaboration, Agile","Python, React, GCP, Kubernetes",2
Omnicom Group,Global leader in marketing communications and advertising services,Media & Entertainment,Advertising,Public,"Enterprise (5,000+)","Creative, Fast-paced, Client-focused, Collaborative","Adobe Creative Suite, Salesforce, Google Analytics, HubSpot, Tableau",3
Universal Music Group,"World's largest music company, including recording, publishing, and merchandising",Media & Entertainment,Music Industry,Public,"Enterprise (5,000+)","Fast-paced, Creative, Global, Innovation-driven","Pro Tools, Avid, SAP, Salesforce, Adobe Creative Suite",3
Sony Music Entertainment,Global recorded music company with multiple labels,Media & Entertainment,Music Industry,Public,"Enterprise (5,000+)","Corporate, International, Collaborative","AWS, Azure, Workday, Pro Tools",2
ESPN (Walt Disney Company),"Leading sports media company providing live sports coverage, news, highlights and original programming across multiple platforms",Media & Entertainment,Sports Entertainment,Public,"Enterprise (5,000+)","Fast-paced, Collaborative, Sports-focused, Innovation-driven","Adobe Creative Suite, Avid, AWS, Vizrt, SnappyTV",2
DraftKings,"Digital sports entertainment and gaming company providing daily fantasy sports, sports betting and iGaming products",Media & Entertainment,Sports Entertainment & Gaming,Public,"Very Large (1,000-4,999)","Tech-driven, Data-focused, Fast-growing, Entrepreneurial","Python, React, AWS, Kafka, PostgreSQL",2
Disney+,Direct-to-consumer streaming platform for Disney content,Media & Entertainment,Streaming Services,Public,"Very Large (1,000-4,999)","Innovation, Storytelling, Family-Friendly","React Native, Node.js, AWS, Python",2
Meta (Facebook),"Leading social media and technology company operating Facebook, Instagram, WhatsApp, and Meta Quest",Media & Entertainment,Social Media,Public,"Enterprise (5,000+)","Move Fast, Be Bold, Focus on Impact, Build Social Value","React, GraphQL, Python, PHP, Hadoop, PyTorch",3
TikTok,Short-form video social media platform,Media & Entertainment,Social Media,Private,"Enterprise (5,000+)","Innovation, Creativity, Global Mindset","Java, Python, React Native, TensorFlow",3
United Airlines,Major US airline providing passenger and cargo services globally,Transportation,Airlines,Public,"Enterprise (5,000+)","Safety First, Customer Service, Innovation, Diversity","Amadeus, SAP, Boeing FMS, Airbus FMGS, ServiceNow",5
